1880,90992,110490
1881,91953,100743
1882,107848,113686
1883,112318,104627
1884,129020,114443
1885,133055,107799
1886,144534,110785
1887,145981,101415
1888,178624,120850
1889,178366,110582
1890,190376,111025
1891,185482,101193
1892,212341,122036
1893,212905,112317
1894,222922,115770
1895,233628,117396
1896,237918,119568
1897,234200,112758
1898,258770,122691
1899,233023,106212
1900,299822,150490
1901,239347,106469
1902,264075,122659
1903,261972,119233
1904,275371,128125
1905,291623,132318
1906,295304,133157
1907,318565,146830
1908,334315,154343
1909,347232,163999
1910,396503,194216
1911,418304,225967
1912,558113,429946
1913,624536,512558
1914,761561,654764
1915,983876,848603
1916,1044328,890095
1917,1081290,925508
1918,1157651,1013522
1919,1130134,980137
1920,1198287,1064445
1921,1233019,1101447
1922,1200951,1088286
1923,1206326,1096187
1924,1248902,1132749
1925,1217365,1115952
1926,1185350,1110516
1927,1192350,1126817
1928,1153140,1107542
1929,1116472,1075396
1930,1125817,1097224
1931,1064552,1039243
1932,1067019,1043884
1933,1007748,991205
1934,1044064,1032326
1935,1048464,1040987
1936,1040243,1037009
1937,1063879,1066379
1938,1103312,1108880
1939,1096549,1106617
1940,1143357,1158943
1941,1207942,1228011
1942,1350571,1380812
1943,1395115,1426908
1944,1327128,1362607
1945,1307016,1345660
1946,1571209,1623728
1947,1772650,1829293
1948,1697809,1754438
1949,1710832,1773754
1950,1713450,1791474
1951,1800289,1881716
1952,1854464,1943744
1953,1880908,1971136
1954,1941632,2037515
1955,1954722,2058035
1956,2007513,2113761
1957,2044225,2155921
1958,2010941,2120843
1959,2023078,2133539
1960,2022121,2132756
1961,2017432,2122608
1962,1966612,2068953
1963,1927239,2031746
1964,1894676,1993353
1965,1765063,1861377
1966,1691925,1783992
1967,1650839,1744507
1968,1640167,1738999
1969,1687000,1789709
1970,1748250,1859647
1971,1663570,1769292
1972,1521234,1622736
1973,1458155,1559416
1974,1467451,1573195
1975,1457750,1562298
1976,1465169,1569980
1977,1533070,1643802
1978,1531758,1642388
1979,1605130,1722104
1980,1660042,1784088
1981,1667611,1791101
1982,1692818,1814211
1983,1670167,1791964
1984,1683111,1803995
1985,1720164,1847231
1986,1714784,1840347
1987,1737981,1865804
1988,1779975,1912764
1989,1843175,2000082
1990,1897807,2052662
1991,1874489,2019523
1992,1843383,1996492
1993,1808508,1960486
1994,1785184,1931313
1995,1758010,1902971
1996,1752364,1893548
1997,1739963,1884324
1998,1766075,1910424
1999,1772788,1918984
2000,1814738,1962556
2001,1799199,1941401
2002,1795367,1939950
2003,1825509,1973612
2004,1834379,1983010
2005,1845640,1995115
2006,1898776,2052652
2007,1919775,2072505
2008,1887660,2036750
2009,1833461,1979895
2010,1773440,1914629
2011,1754424,1894262
2012,1755254,1890889
2013,1747544,1883945
2014,1777242,1910876
2015,1769325,1898858
